payment_id,invoice_id,customer_id,date,amount
PAY000078,INV000067,CUST0131,2022-01-06,31107.15
PAY000101,INV000088,CUST0175,2022-01-06,32950.25
PAY000089,INV000077,CUST0158,2022-01-06,35822.8
PAY000031,INV000027,CUST0052,2022-01-07,36236.81
PAY000003,INV000003,CUST0003,2022-01-07,48249.52
PAY000085,INV000073,CUST0149,2022-01-07,21102.19
PAY000029,INV000025,CUST0046,2022-01-07,46897.0
PAY000013,INV000011,CUST0013,2022-01-08,33802.74
PAY000068,INV000059,CUST0108,2022-01-08,61014.12
PAY000025,INV000021,CUST0038,2022-01-08,70225.46
PAY000071,INV000062,CUST0115,2022-01-08,25926.94
PAY000119,INV000103,CUST0218,2022-01-09,33574.84
PAY000088,INV000076,CUST0154,2022-01-09,38955.02
PAY000087,INV000075,CUST0151,2022-01-09,27135.97
PAY000117,INV000101,CUST0214,2022-01-09,50390.74
PAY000006,INV000006,CUST0007,2022-01-09,28354.23
PAY000005,INV000005,CUST0006,2022-01-09,37612.45
PAY000105,INV000092,CUST0186,2022-01-09,37121.84
PAY000102,INV000089,CUST0177,2022-01-09,45292.74
PAY000052,INV000044,CUST0087,2022-01-09,38305.62
PAY000051,INV000043,CUST0085,2022-01-09,38170.58
PAY000049,INV000041,CUST0081,2022-01-09,43013.82
PAY000023,INV000019,CUST0029,2022-01-09,41864.97
PAY000038,INV000032,CUST0061,2022-01-10,35829.2
PAY000076,INV000065,CUST0120,2022-01-10,31880.3
PAY000062,INV000053,CUST0100,2022-01-10,51172.41
PAY000056,INV000048,CUST0094,2022-01-10,44703.39
PAY000106,INV000093,CUST0187,2022-01-10,51719.46
PAY000063,INV000054,CUST0101,2022-01-10,45933.74
PAY000090,INV000078,CUST0161,2022-01-10,9756.13
PAY000077,INV000066,CUST0129,2022-01-10,41460.32
PAY000055,INV000047,CUST0092,2022-01-10,42778.67
PAY000034,INV000029,CUST0057,2022-01-10,30453.82
PAY000083,INV000071,CUST0140,2022-01-10,47413.47
PAY000008,INV000007,CUST0009,2022-01-10,31647.57
PAY000030,INV000026,CUST0049,2022-01-10,35215.83
PAY000021,INV000017,CUST0023,2022-01-10,37734.85
PAY000016,INV000013,CUST0015,2022-01-10,17846.81
PAY000115,INV000099,CUST0211,2022-01-10,30271.58
PAY000024,INV000020,CUST0032,2022-01-10,29279.09
PAY000018,INV000014,CUST0016,2022-01-10,47692.43
PAY000097,INV000084,CUST0170,2022-01-11,29766.49
PAY000233,INV000204,CUST0200,2022-01-11,35966.06
PAY000039,INV000033,CUST0064,2022-01-11,39799.1
PAY000027,INV000023,CUST0042,2022-01-11,48851.07
PAY000107,INV000094,CUST0188,2022-01-11,41640.95
PAY000048,INV000040,CUST0079,2022-01-11,35697.35
PAY000054,INV000046,CUST0090,2022-01-12,37095.64
PAY000035,INV000030,CUST0058,2022-01-12,11007.02
PAY000193,INV000170,CUST0129,2022-01-12,39560.88
PAY000012,INV000010,CUST0012,2022-01-12,16367.96
PAY000220,INV000191,CUST0172,2022-01-12,41338.86
PAY000060,INV000051,CUST0098,2022-01-12,45830.46
PAY000057,INV000049,CUST0095,2022-01-12,21756.41
PAY000040,INV000034,CUST0065,2022-01-12,42853.3
PAY000100,INV000087,CUST0174,2022-01-12,43215.89
PAY000103,INV000090,CUST0183,2022-01-12,49319.07
PAY000104,INV000091,CUST0184,2022-01-12,34862.77
PAY000177,INV000156,CUST0108,2022-01-13,64481.47
PAY000130,INV000114,CUST0023,2022-01-13,48051.19
PAY000242,INV000211,CUST0212,2022-01-13,17719.17
PAY000181,INV000160,CUST0112,2022-01-13,40763.28
PAY000069,INV000060,CUST0112,2022-01-13,40667.87
PAY000185,INV000163,CUST0116,2022-01-13,33445.07
PAY000041,INV000035,CUST0069,2022-01-13,21706.34
PAY000022,INV000018,CUST0028,2022-01-13,38613.78
PAY000064,INV000055,CUST0103,2022-01-13,61516.63
PAY000061,INV000052,CUST0099,2022-01-13,44430.28
PAY000059,INV000050,CUST0096,2022-01-13,34554.51
PAY000096,INV000083,CUST0169,2022-01-13,34706.53
PAY000026,INV000022,CUST0041,2022-01-13,60067.3
PAY000065,INV000056,CUST0105,2022-01-13,64566.87
PAY000118,INV000102,CUST0217,2022-01-13,56645.35
PAY000099,INV000086,CUST0173,2022-01-14,41338.65
PAY000116,INV000100,CUST0212,2022-01-14,15554.17
PAY000178,INV000157,CUST0109,2022-01-14,45275.94
PAY000110,INV000096,CUST0201,2022-01-14,29228.85
PAY000084,INV000072,CUST0147,2022-01-14,37909.37
PAY000145,INV000128,CUST0057,2022-01-14,31258.23
PAY000001,INV000001,CUST0001,2022-01-14,33610.87
PAY000050,INV000042,CUST0082,2022-01-14,26892.77
PAY000028,INV000024,CUST0043,2022-01-14,33511.75
PAY000032,INV000028,CUST0054,2022-01-14,23735.35
PAY000124,INV000108,CUST0013,2022-01-15,37109.71
PAY000236,INV000207,CUST0204,2022-01-15,9491.71
PAY000234,INV000205,CUST0201,2022-01-15,48408.59
PAY000239,INV000209,CUST0206,2022-01-15,51124.3
PAY000066,INV000057,CUST0106,2022-01-15,36471.08
PAY000094,INV000081,CUST0167,2022-01-15,17864.52
PAY000132,INV000116,CUST0028,2022-01-15,40164.43
PAY000136,INV000119,CUST0032,2022-01-15,25198.64
PAY000167,INV000148,CUST0097,2022-01-15,9597.81
PAY000166,INV000147,CUST0094,2022-01-15,37200.53
PAY000072,INV000062,CUST0115,2022-01-15,14087.16
PAY000108,INV000095,CUST0192,2022-01-15,12377.83
PAY000229,INV000200,CUST0192,2022-01-15,25803.19
PAY000046,INV000039,CUST0077,2022-01-15,11035.1
PAY000215,INV000187,CUST0165,2022-01-16,25555.24
PAY000004,INV000004,CUST0005,2022-01-16,16647.38
PAY000007,INV000006,CUST0007,2022-01-16,26742.23
PAY000238,INV000208,CUST0205,2022-01-16,64181.59
PAY000151,INV000133,CUST0071,2022-01-16,54424.94
PAY000207,INV000181,CUST0155,2022-01-16,33615.27
PAY000192,INV000169,CUST0128,2022-01-16,30836.6
PAY000053,INV000045,CUST0088,2022-01-16,21158.54
PAY000243,INV000212,CUST0213,2022-01-16,34525.65
PAY000141,INV000124,CUST0046,2022-01-16,50413.7
PAY000142,INV000125,CUST0052,2022-01-16,37295.6
PAY000225,INV000196,CUST0185,2022-01-16,40399.75
PAY000209,INV000183,CUST0158,2022-01-16,37067.69
PAY000184,INV000162,CUST0115,2022-01-16,33690.83
PAY000174,INV000154,CUST0106,2022-01-17,24063.73
PAY000162,INV000144,CUST0089,2022-01-17,55618.67
PAY000179,INV000158,CUST0110,2022-01-17,46089.09
PAY000223,INV000194,CUST0175,2022-01-17,29122.69
PAY000146,INV000129,CUST0061,2022-01-17,33602.98
PAY000125,INV000109,CUST0015,2022-01-17,28759.63
PAY000017,INV000013,CUST0015,2022-01-17,9404.23
PAY000246,INV000214,CUST0218,2022-01-17,24167.87
PAY000218,INV000190,CUST0170,2022-01-17,22296.69
PAY000189,INV000167,CUST0126,2022-01-17,40397.2
PAY000091,INV000078,CUST0161,2022-01-17,21971.47
PAY000190,INV000168,CUST0127,2022-01-17,14385.31
PAY000217,INV000189,CUST0169,2022-01-17,36294.95
PAY000222,INV000193,CUST0174,2022-01-18,46077.1
PAY000147,INV000130,CUST0064,2022-01-18,36358.35
PAY000079,INV000068,CUST0135,2022-01-18,24440.05
PAY000244,INV000213,CUST0214,2022-01-18,27808.65
PAY000086,INV000074,CUST0150,2022-01-18,18706.92
PAY000138,INV000121,CUST0034,2022-01-18,35238.22
PAY000171,INV000151,CUST0101,2022-01-18,39755.77
PAY000359,INV000317,CUST0209,2022-01-18,33785.89
PAY000173,INV000153,CUST0105,2022-01-18,59982.3
PAY000172,INV000152,CUST0103,2022-01-18,54875.97
PAY000180,INV000159,CUST0111,2022-01-18,38108.94
PAY000186,INV000164,CUST0117,2022-01-18,43069.39
PAY000120,INV000104,CUST0001,2022-01-18,35552.89
PAY000123,INV000107,CUST0009,2022-01-18,32488.72
