invoice_id,customer_id,date,due_date,total,amount_paid,status
INV000045,CUST0088,2022-01-03,2022-02-02,21158.54,21158.54,Paid
INV000074,CUST0150,2022-01-03,2022-02-02,18706.92,18706.92,Paid
INV000067,CUST0131,2022-01-03,2022-02-02,31107.15,31107.15,Paid
INV000047,CUST0092,2022-01-03,2022-02-02,42778.67,42778.67,Paid
INV000036,CUST0070,2022-01-03,2022-02-02,69882.24,69882.24,Paid
INV000027,CUST0052,2022-01-03,2022-02-02,36236.81,36236.81,Paid
INV000011,CUST0013,2022-01-03,2022-02-02,33802.74,33802.74,Paid
INV000026,CUST0049,2022-01-03,2022-02-02,35215.83,35215.83,Paid
INV000081,CUST0167,2022-01-04,2022-02-03,31765.7,17864.52,Partially Paid
INV000077,CUST0158,2022-01-04,2022-02-03,35822.8,35822.8,Paid
INV000054,CUST0101,2022-01-04,2022-02-03,45933.74,45933.74,Paid
INV000044,CUST0087,2022-01-04,2022-02-03,38305.62,38305.62,Paid
INV000025,CUST0046,2022-01-04,2022-02-03,46897.0,46897.0,Paid
INV000020,CUST0032,2022-01-04,2022-02-03,29279.09,29279.09,Paid
INV000019,CUST0029,2022-01-04,2022-02-03,41864.97,41864.97,Paid
INV000001,CUST0001,2022-01-04,2022-02-03,33610.87,33610.87,Paid
INV000013,CUST0015,2022-01-04,2022-02-03,27251.04,27251.04,Paid
INV000012,CUST0014,2022-01-04,2022-02-03,17038.75,17038.75,Paid
INV000010,CUST0012,2022-01-04,2022-02-03,16367.96,16367.96,Paid
INV000017,CUST0023,2022-01-05,2022-02-04,37734.85,37734.85,Paid
INV000042,CUST0082,2022-01-05,2022-02-04,26892.77,26892.77,Paid
INV000062,CUST0115,2022-01-05,2022-02-04,40014.1,40014.1,Paid
INV000039,CUST0077,2022-01-05,2022-02-04,20310.53,20310.53,Paid
INV000100,CUST0212,2022-01-05,2022-02-04,15554.17,15554.17,Paid
INV000065,CUST0120,2022-01-05,2022-02-04,31880.3,31880.3,Paid
INV000035,CUST0069,2022-01-05,2022-02-04,35393.23,35393.23,Paid
INV000032,CUST0061,2022-01-05,2022-02-04,35829.2,35829.2,Paid
INV000088,CUST0175,2022-01-05,2022-02-04,32950.25,32950.25,Paid
INV000101,CUST0214,2022-01-05,2022-02-04,50390.74,50390.74,Paid
INV000031,CUST0060,2022-01-05,2022-02-04,59452.78,59452.78,Paid
INV000079,CUST0162,2022-01-05,2022-02-04,10081.81,10081.81,Paid
INV000103,CUST0218,2022-01-05,2022-02-04,33574.84,33574.84,Paid
INV000021,CUST0038,2022-01-05,2022-02-04,70225.46,70225.46,Paid
INV000015,CUST0019,2022-01-05,2022-02-04,14525.87,14525.87,Paid
INV000090,CUST0183,2022-01-05,2022-02-04,49319.07,49319.07,Paid
INV000098,CUST0203,2022-01-05,2022-02-04,16651.94,16651.94,Paid
